#Be Density=1.848 Thickness=25.4 microns
#Photon Energy (eV), Transmission
18561.0, 0.99905
18601.0, 0.99905
18641.0, 0.99905
18681.0, 0.99905
18721.0, 0.99906
18761.0, 0.99906
18801.0, 0.99906
18841.0, 0.99906
18881.0, 0.99906
18921.0, 0.99906
18961.0, 0.99906
19001.0, 0.99907
19040.0, 0.99907
19080.0, 0.99907
19120.0, 0.99907
19160.0, 0.99907
19200.0, 0.99907
19240.0, 0.99907
19280.0, 0.99908
19320.0, 0.99908
19360.0, 0.99908
19400.0, 0.99908
19440.0, 0.99908
19480.0, 0.99908
19520.0, 0.99908
19560.0, 0.99909
19600.0, 0.99909
19640.0, 0.99909
19680.0, 0.99909
19720.0, 0.99909
19760.0, 0.99909
19800.0, 0.99909
19840.0, 0.99909
19880.0, 0.99910
19920.0, 0.99910
19960.0, 0.99910
20000.0, 0.99910

